Nama,Energi (Kal),Protein (g),Lemak (g),Karbodhidrat (g),Serat (g)
Kacang Atom,533,27.8,38.1,28.8,2.5
Kacang Sukro,484,8.8,26.1,57.7,1.8
Kembang tahu,380,48.9,13.8,23.3,0
Kripik Oncom,598,8.3,43.8,42.6,3.3
Kwaci,515,30.6,42.1,13.8,13.6
Oncom,197,13,6,22.6,0
Rempeyek Kacang Tanah,513,17.5,32.5,44.3,1.7
Susu Kedelai,41,3.5,2.5,5,0.2
Tahu goreng,115,9.7,8.5,2.5,0.1
Tahu telur,328,12.6,19.9,24.6,0.4
Tempe,150,14,7.7,9.1,1.4
"Ayam, ampela, goreng",270,32.3,11.2,9.9,0
"Ayam, usus, goreng",473,45.2,26.3,13.9,0
Bebek Goreng,300,24,20.7,4.5,0
Ham,384,16.9,35,0.3,0
"Sapi, abon",212,18,10.6,59.3,7.5
"Sapi, asap",182,32,6,0,0
kornet,289,16,25,0,0
Ayam goreng texas (Dada),338,35.2,20.6,0.4,0
Ayamg goreng texas (Paha),287,31,15.7,1.7,0
Ayam goreng texas (Sayap),295,34,16,1.5,0
Ayam pasundan (dada),246,37.9,9,0.7,0
Ayam pasundan (paha),245,33.1,11.4,0.3,0
Beef Burger,258,10.6,9.5,32.5,0.4
Beef Teriyaki,151,8.6,3.1,22.3,0.3
Beef Yakiniku,132,9.8,1.1,20.7,0.3
Brongkos,141,15.3,3.3,12.6,1
Bulgogi,72,11.4,4.9,1.4,1.7
Chicken Teriyaki,168,13,9.6,7.5,0.8
Chikiniku,143,9.8,1.4,22.8,0.4
Empal Goreng,248,36.2,6.9,10.1,0
Gulai kambing,1226,4.2,9.4,6.2,0
"Kalio ayam, masakan",203,16,13.5,4.4,0
"Kalio jeroan, masakan",163,16.5,9,4.1,0
"Kalio kikil (tunjang), masakan",122,13.8,5.7,3.9,0
"Kalio otak, masakan",157,8.1,8.8,11.4,0
"Lawar babi, masakan",174,17,10,3,0
"Lawar penyu, masakan",141,23,1.5,7.6,0
"Lawara jangang, masakan",159,5,10.9,10.1,0
"Naan maran sapi, masakan",478,38.3,33.9,5.1,0
"Nasu likku, masakan",196,14.5,8.3,15.9,0
"oramu ninahu ndawa olaho, masakan",117,13.7,5,4.3,0
"paniki masak santan, masakan",460,28.5,35.2,7.2,0
"pelolah manuk, masakan",219,19.7,13.6,4.4,0
"Rawon, masakan",60,5.4,2.5,4,0
"rendang sapi, masakan",193,22.6,7.9,7.8,0
"sate, penyu, masakan",179,22.5,3.5,13.3,0
"sate pusut, masakan",274,12.9,18.6,13.6,0
"penyu, serapah, masakan",174,13.1,12.2,2.2,0
"sie reuboh, masakan",474,11.2,42.5,11.7,0
"sop buntut, masakan",71,7.5,3.6,2.2,0
"sop daging, sapi, masakan",49,5.8,0.5,5.3,0
"sop kambing, masakan",34,5.5,0.8,1.1,0
"sop konro, masakan",71,7.4,2.6,4.5,0
"sop saudara, masakan",89,7.2,5,3.9,0
"Soto bandung, masakan",42,3.9,1.7,2.8,0.4
"soto banjar, masakan",110,2.9,9.5,3.2,0
"soto betawi, masakan",135,2.5,8.8,11.5,0.5
"soto jeroan, masakan",92,11.8,4.3,1.4,0
"soto kudus, masakan",38,2.6,1.8,0.2,0
"soto madura, masakan",60,3.5,4.5,1.3,0
"soto padang, masakan",127,5.9,6.6,11,0.7
"soto pekalongan, masakan",94,3,6.8,5.1,0.3
"soto pemalang, masakan",75,3.6,5.2,3.5,0
"soto sukaraja, masakan",80,3.2,3.5,9,0.3
"soto sulung, masakan",86,2.3,8.5,0,0
"sukiyaki, masakan",75,5.6,0.4,12.2,0.2
"tedong pallu basa, masakan",83,10.4,3.4,2.8,0
"Tinoransa, masakan",516,17.7,49.5,0,0
"Bekicot, dendeng, mentah",441,48.7,20.3,15.8,0
Belut goreng,417,25.9,19.4,32,0
cumi-cumi goreng,265,40.6,10.1,0,0
"ikan asin, ikan bandeng presto",193,42,1.5,0,0
Ikan baung bakar,144,17.8,5.8,5.2,0
Ikan belida bakar,128,18,3,7.2,0
"ikan cakalang asap, mentah",204,34.2,5.6,1.9,0
"Ikan cakalang, asin",198,36.5,2.2,5.5,0
"Ikan calo/peda, mentah",81,11.4,1.9,3.8,0
"Ikan gabus asap, mentah",261,38.1,2.3,21.9,0
"Ikan gabus , kering",268,58,4,0,0
"Ikan gete, goreng",267,23.1,19.4,0.2,0
"Ikan hiu, kering",298,46.3,3.6,20.2,0
"Ikan katombo, asin",162,31.7,2.8,0.3,0
"Ikan kayu, kering",302,70.7,1.9,0.4,0
Ikan lais bakar,147,17.5,6.5,5.4,0
"Ikan lomak asin, mentah",258,40.3,2.3,18.9,0
Ikan mas pepes,209,15.2,11.3,11.8,0.5
Ikan mujahir goreng,416,46.9,23.9,0,0
Ikan mujahir pepes,121,21.7,2.8,0.8,0
"Ikan mujahir, dendeng, mentah",582,68.3,15.2,37.2,0
"Ikan papuyu, bakar",152,17.6,6.1,6.7,0
"Ikan patin, bakar",144,17.5,6.3,4.3,0
"Ikan peda banjar, mentah",156,28,4,2,0
"Ikan pepetek, mentah",176,32,4.4,2,0
"Ikan pindang banjar, mentah",157,28,4.2,1.8,0
"Ikan sale, mentah",534,40.2,39.3,4.9,2
"Ikan sale lais, mentah",415,61.3,17.6,2.9,0
"Ikan saluang, kering",284,34.1,9.9,14.6,0
"Ikan sanggang, masakan",240,21.7,7.7,20.7,0
"Ikan selar kuning, cue mentah",138,27,3.3,0,0
"Ikan selar, kering, mentah",194,38,3.5,0,0
"Ikan sepat, kering, mentah",289,38,14,0,0
"Ikan sunu, asin, mentah",199,34.1,3.8,7.1,0
"Ikan, tepung, mentah",316,60.1,6.5,22.4,0
"Ikan teri nasi, kering, mentah",144,32.5,0.6,0,0
"Kerang, asap, mentah",393,38.5,13.3,29.4,0
"Kerang, dendeng, mentah",357,41.1,10,25.6,0
"Rebon, kering, mentah",299,59.4,3.6,3.2,0
"Rebung laut, mentah",320,7.2,4.2,63.3,0
Sardines dalam kaleng,338,21.1,27,1,0
"Teripang, dendeng, mentah",462,39.1,32.4,3.5,0
"Udang kering, mentah",278,62.6,4.1,2.2,0
"Udang papay, mentah",273,47.8,3.8,12.5,0
Abon haruwan,513,23.7,37,21.3,0
Abon ikan,435,27.2,20.2,36.1,0
"Betok wadi, masakan",145,16.3,7,4.1,0
Bou ninahu ndamate,79,6.3,1,1.1,0
"Bouiki ninahu nggaluku, masakan",94,7.8,2.2,10.8,0
Cakalang asar,155,20.1,3.8,10.2,0
"Dendeng belut, goreng, masakan",382,55.7,14.1,8,0
"Dendeng mujahir, goreng, masakan",598,74.3,26.9,9.2,0
Fillet o-fish,270,12.3,15.9,9.3,0.2
Gete Kuah asam,75,8.2,2,6,0
Gulai asam keueng,52,10,0.5,1.8,0
"Gulai ikan, masakan",106,16.5,3.3,2.5,0
Gulai tiram,132,9,7.2,7.8,0
"Gurame asam manis, masakan",192,12.7,10.1,12.7,0
"Ikan asar merah, masakan",146,17.7,5.9,5.6,0
"Jambal goreng, masakan",286,48.5,9.2,2.3,0
"Jukku pallu kaloa, masakan",15,15.2,4.3,8.8,0
"Kaholeo, masakan",413,28.7,19.8,29.8,0
Lawara penjah,207,7.4,15.4,9.6,0
"Model, masakan",79,2.2,4,8.6,0
"Mujahir acar kuning, masakan",330,17.8,23.4,12.1,1.1
"Parede baleh, masakan",87,10.5,2.5,5.5,0
"Pempek adaan, masakan",162,4.9,3,27.8,0
"Pempek belida, masakan",156,4.2,1.4,31.6,0.2
"Pempek telur, masakan",156,4.7,2.7,28.3,0
"Pencok lele, masakan",372,7.8,36.3,3.5,0
Pinda,107,15.9,0.6,0.4,0
"Pindang kenari, masakan",124,9.5,9.6,0,0
"saboko gurita, masakan",87,15.7,1.5,2.6,0
"Saboko saltan, masakan",113,17.1,3.6,3,0
"Saboko sardin, masakan",110,12.9,4.3,4.9,0
Sate Bandeng,283,12.1,16.8,20.9,2
"Sepi, masakan",88,7.9,1.6,10.6,0
"Tekwan, masakan",53,1.9,0.9,9.4,0
"Teri balado, masakan",365,23.7,22.3,17.5,0
"Tumis bandeng, masakan",189,11.3,15.7,0.6,0
Tumis keumamah,300,14.5,20,15.5,4.5
"Telur ayam, dadar, masakan",251,16.3,19.4,1.4,0
"Telur bebek, masakan",301,20,23.7,0,0
Telur ikan,358,20.7,26.4,9.4,0
"Bayau mi balu, masakan",313,6,12.2,44.8,0
"Cucuru bayau, masakan",349,6.8,18.7,38.3,0
"Kalio telur, masakan",193,10.6,12.4,9.7,0
Es krim,210,4,12.5,20.6,0
Hangop,65,10,1,3.5,0
Keju,326,22.8,20.3,13.1,0
Kwark,242,19,17,3,0
Susu asam untuk bayi,418,19,9,65.5,0
Susu bubuk,513,24.6,30,36.2,0
Susu kental manis,343,8.2,10,55,0
"Susu skim, segar",36,3.5,0.1,5.1,0
Yoghurt segar,52,3.3,2.5,4,0
Margarin (butter),720,0.6,81,0.4,0
Mentega (margarine),742,0.5,81.6,1.4,0
santan dengan air,122,2,10,7.6,1.4
Santan murni,324,4.2,34.3,5.6,0
Coklat manis,527,2,29.8,62.7,6.5
"Coklat pahit, batang",615,5.5,42.6,29.2,10.8
"Coklat susu, batang",565,9,35,53.6,3.4
Coklat bubuk,311,8,4,48.9,32.6
Madu ,294,0.3,0,79.5,0.2
Markisa squash,217,2.5,1,49.6,0
Sirup,213,0,0,55,0
Teh hijau daun kering,300,28.3,4.8,53.6,9.6
Teh hitam daun kering,293,24.5,2.8,58.8,8.7
Teh melati daun kering,299,24.1,3.5,59,9.7
Balichong,152,13.2,0.8,22.9,1.5
Petis ikan,165,20,0.2,20.8,0
Petis udang kering,345,23.8,1.4,59.3,0
Petis udang pasta,220,15,0.9,38,2.3
Saos tomat,110,2,0.4,24.5,0.9
Terasi,155,22.3,2.9,9.9,2.7
Terasi dobo,191,33.1,3.6,6.6,1.6
Terasi Merah,174,30,3.5,5.6,2.2
Daun Ubi merah,56,3.1,0.3,13,1.5
Kacang panjang,39,3,0.6,7.6,1.7
kangkung,22,2.5,0.6,3.1,1.2
Selada,19,2.7,0.2,2.9,0.7
Toge,28,3,0.8,4,1
Terong,23,1.8,0.1,4.9,0.4
Wortel,28,0.7,0.5,6.3,0.8
Asinan bogor,98,3.9,2.6,14.8,0.5
Anyang,126,3.4,7.9,10.3,5.4
Ares,113,7.2,11.2,4.7,3
Arwan sisir,277,2.4,25,10.7,4.6
Beberuk,65,1.1,5.2,3.5,3.1
Botok lamtoro,186,11.7,9.7,13,2.1
Buntil daun talas,141,4.4,10.2,8,1.8
Cammetutu,102,3.2,6,8.7,4.3
Cap cai,97,5.8,6.3,4.2,0.6
gado-gado,68.5,6.1,3.2,21,1.1
gudeg,160,3.3,16,9.2,2.3
Gulai pakis,143,4,11.4,6,1.4
Kadada katembe,110,4.5,6.9,7.1,3.9
"Kaparende, sayur",38,2.4,2,2.6,1.5
"Karedok, sayur",92,2.2,3.3,14.1,1.4
Keripik bayam,586,4.9,40.6,50.2,0.5
Kotiu hinela tawang nggole,46,2.2,1.5,6,3.8
Rebung ,15,1,0.4,1.9,0.4
Lilin bungkus gedi,79,2.3,5.2,5.8,2.5
olah-olah,9,2.1,6,7.1,4.4
paku hinela wulelenggapaya,77,3.5,4.6,5.4,3.6
Purundawa,25,1.5,0.5,3.6,1.7
Rujak cingur,153,11.3,8.4,8,1.4
Sayur asem,29,0.7,0.6,5,0.6
Sayur bunga pepaya,49,1.7,0.3,9.8,2.7
Sayur garu,178,2.6,13.9,10.6,8.4
Sayur kohu-kohu,133,7.3,6.6,11.2,2.1
Sayur sop,27,1.3,2,1,0.3
Sayur umbut kelapa,67,5.2,2.9,5.1,1.4
Shabu-shabu,88,3.2,8,0.8,0.9
semur jengkol,212,6,10,29.1,0
tinira ninahu nggaluku,33,1.2,1.3,4.1,3.1
Tumis bayam bersantan,48,1.4,4.2,2.6,0.5
Waluh balamak,4,0.8,0.9,8.1,7.9
Woku Ubi,143,3.1,7.8,15,7
Salak,78,77,0.4,20.9,0
Sawo,111,0.9,2.3,21.6,1
Semangka ,28,0.5,0.2,6.9,0.4
Sirsak,65,1,0.3,16.3,3.2
Srikaya,63,1.1,0.5,13.9,2.1
Sukun,119,1.4,0.2,28.1,1.4
Wani,74,0.8,0.3,17.1,3.1
Barongko,159,3.1,5.8,23.5,0
Dodol nanas,338,1.5,1.2,80.3,0
Getuk Pisang,144,1.1,0.4,34.1,0.4
Ledre Pisang,405,4.8,5.1,84.9,0.4
Lempog durian,320,3.5,5.7,63.7,4.9
Loka Anjoro,163,1.1,4.3,30,0
RIca-rica taipa,49,1.6,0.3,10,1.4
Rujak aceh,82,0.4,0.3,19.7,2.4
Sale kesemek,296,1.1,0.6,71.4,0
Sale pisang,281,2.4,0.7,66.1,1
